f2012,gradient,SHAPE__Length,objectid,sig_kor_nm,f2017,SHAPE__Area
12.94,0.19,188042.59483419493,1,중구,14.1,218897523.54984996
14.66,0.45,28078.427440978878,2,동구,18.95,11056766.215650015
11.71,0.39,32992.66941695106,3,남구,14.49,39525559.208050005
7.4,0.25,68697.30114472246,4,연수구,8.63,80308390.60549998
8.41,0.42,66437.70076554787,5,남동구,10.89,90173959.03834999
9.19,0.43,44187.66001797636,6,부평구,11.85,51040601.48745004
7.21,0.51,58318.37191372568,7,계양구,9.8,72574334.20985004
7.04,0.34,156750.45416843545,8,서구,8.94,187372964.69935
26.01,0.25,337174.81348550494,9,강화군,29.75,656673956.04565
19.98,0.16,612457.4219737286,10,옹진군,22.42,274672886.84240013
