Rank,Song,Artist
1,Love 119,RIIZE
2,To. X,태연 (TAEYEON)
3,Perfect Night,LE SSERAFIM (르세라핌)
4,에피소드,이무진
5,Drama,aespa
6,비의 랩소디,임재현
7,Get A Guitar,RIIZE
8,MANIAC,VIVIZ (비비지)
9,I AM,IVE (아이브)
10,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
11,You & Me,제니 (JENNIE)
12,Baddie,IVE (아이브)
13,Ditto,NewJeans
14,ETA,NewJeans
15,헤어지자 말해요,박재정
16,인사,범진
17,Love Lee,AKMU(악뮤)
18,첫 눈,EXO
19,한 페이지가 될 수 있게,DAY6 (데이식스)
20,후라이의 꿈,AKMU(악뮤)
21,Super Shy,NewJeans
22,Seven (feat. Latto) - Clean Ver.,정국
23,Discord,QWER
24,Talk Saxy,RIIZE
25,Hype Boy,NewJeans
26,Standing Next to You,정국
27,Spicy,aespa
28,Chill Kill,Red Velvet (레드벨벳)
29,Off The Record,IVE (아이브)
30,Kitsch,IVE (아이브)
31,Steal The Show (From “엘리멘탈”),Lauv(라우브)
32,Either Way,IVE (아이브)
33,잠시라도 우리,"성시경


성시경"
34,너의 모든 순간,성시경
35,화이트 (White),폴킴(Paul Kim)
36,Attention,NewJeans
37,OMG,NewJeans
38,GODS,"NewJeans


NewJeans"
39,별 떨어진다 (I Do),디오 (D.O.)
40,퀸카 (Queencard),(여자)아이들
41,After LIKE,IVE (아이브)
42,사랑할 수밖에,볼빨간사춘기
43,Stuck In A Maze,포레스텔라(Forestella)
44,주저하는 연인들을 위해,잔나비
45,DASH,NMIXX
46,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
47,LOVE DIVE,IVE (아이브)
48,사건의 지평선,윤하(Younha/ユンナ)
49,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
50,숲,최유리
51,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
52,달빛에 그려지는,미연 ((여자)아이들)
53,넌 쉽게 말했지만,소수빈
54,Off My Face,Justin Bieber(저스틴 비버)
55,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
56,New Jeans,NewJeans
57,Fast Forward,전소미
58,Dangerously,Charlie Puth(찰리 푸스)
59,사막에서 꽃을 피우듯,우디(Woody)
60,머물러주오 (Prod. 안신애 & Philtre),소수빈
61,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오


다이나믹 듀오"
62,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
63,예뻤어,DAY6 (데이식스)
64,손오공,세븐틴(SEVENTEEN)
65,Underwater,권은비
66,DIE 4 YOU,DEAN(딘)
67,사랑은 늘 도망가,임영웅
68,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
69,그대가 내 안에 박혔다,황치열
70,취중고백,김민석
71,음악의 신,세븐틴(SEVENTEEN)
72,STAY,"The Kid LAROI


The Kid LAROI"
73,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom)
74,"밤, 바다",최유리
75,Baggy Jeans,NCT U
76,사랑인가 봐,멜로망스(MeloMance)
77,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
78,Summer (Feat. BE’O (비오)),Paul Blanco
79,I Love You (Prod. 김도훈),홍이삭
80,Rewrite The Stars,"Zac Efron(잭 에프론)


Zac Efron(잭 에프론)"
81,어른,Sondia
82,Snowman,Sia(시아)
83,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
84,미워 (Ego),Crush
85,지극히 사적인 얘기,다비치
86,다정히 내 이름을 부르면,"경서예지


경서예지"
87,Melt Away,태연 (TAEYEON)
88,I Love You,안세하
89,운이 좋았지,권진아
90,Cool With You,NewJeans
91,Bubble,STAYC(스테이씨)
92,심(心),DK(디셈버)
93,그대가 내 안에 박혔다(그내박),순순희(기태)
94,ANTIFRAGILE,LE SSERAFIM (르세라핌)
95,입술 (Feat. 10CM),헤이즈(Heize)
96,Try Again,소수빈
97,내일 얘기해,"릴러말즈 (Leellamarz)


릴러말즈 (Leellamarz)"
98,When I Get Old,"Christopher(크리스토퍼)


Christopher(크리스토퍼)"
99,소년,10CM
100,Love U Like That,Lauv(라우브)
